browseAvailable,browseURL,sceneID,acquisitionDate,cloudCover,path,row,DATA_TYPE_L1,sensor,cloudCoverFull,sceneStartTime,sunElevation,sunAzimuth
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016364LGN00.jpg,LC80430302016364LGN00,2016-12-29,1,43,30,L1T,OLI_TIRS,17.36,2016:364:18:38:16.3838520,21.21504607,160.57033985
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016348LGN00.jpg,LC80430302016348LGN00,2016-12-13,5,43,30,L1T,OLI_TIRS,58.74,2016:348:18:38:19.2797920,21.63159513,162.47370732
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016332LGN00.jpg,LC80430302016332LGN00,2016-11-27,4,43,30,L1T,OLI_TIRS,46.96,2016:332:18:38:22.7674510,23.8455275,163.63484641
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016316LGN00.jpg,LC80430302016316LGN00,2016-11-11,0,43,30,L1T,OLI_TIRS,0.9,2016:316:18:38:22.1041850,27.56276607,163.72466347
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016300LGN00.jpg,LC80430302016300LGN00,2016-10-26,7,43,30,L1T,OLI_TIRS,76.67,2016:300:18:38:23.5513180,32.3677723,162.54387928
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016284LGN00.jpg,LC80430302016284LGN00,2016-10-10,5,43,30,L1T,OLI_TIRS,59.1,2016:284:18:38:20.8871160,37.79094366,160.01713271
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016268LGN00.jpg,LC80430302016268LGN00,2016-09-24,0,43,30,L1T,OLI_TIRS,0.67,2016:268:18:38:16.5041080,43.38952136,156.23669119
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016252LGN00.jpg,LC80430302016252LGN00,2016-09-08,0,43,30,L1T,OLI_TIRS,0.67,2016:252:18:38:15.4801920,48.76944134,151.42752676
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016236LGN00.jpg,LC80430302016236LGN00,2016-08-23,0,43,30,L1T,OLI_TIRS,0.64,2016:236:18:38:10.4276070,53.63908862,146.04671081
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016220LGN00.jpg,LC80430302016220LGN00,2016-08-07,0,43,30,L1T,OLI_TIRS,5.64,2016:220:18:38:04.2033550,57.7820426,140.75933795
Y,http://earthexplorer.usgs.gov/browse/landsat_8/2016/043/030/LC80430302016204LGN00.jpg,LC80430302016204LGN00,2016-07-22,0,43,30,L1T,OLI_TIRS,1.4,2016:204:18:38:01.8243370,61.06644334,136.47905482
