ACQUISITION_DATE,BROWSE_REFLECTIVE_PATH,COLLECTION_CATEGORY,COLLECTION_NUMBER,DATA_TYPE_L1,LANDSAT_PRODUCT_ID,LANDSAT_SCENE_ID,WRS2_TILE,WRS_PATH,WRS_ROW
2015-01-09,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150109_20170302_01_T2.jpg,T2,1,L1TP,LC08_L1TP_043030_20150109_20170302_01_T2,LC80430302015009LGN01,p043r030,43,30
2015-01-25,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150125_20170302_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150125_20170302_01_T1,LC80430302015025LGN01,p043r030,43,30
2015-02-10,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LO08_L1TP_043030_20150210_20170301_01_T1.jpg,T1,1,L1TP,LO08_L1TP_043030_20150210_20170301_01_T1,LO80430302015041LGN01,p043r030,43,30
2015-02-26,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150226_20180201_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150226_20180201_01_T1,LC80430302015057LGN03,p043r030,43,30
2015-03-14,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1GT_043030_20150314_20170228_01_T2.jpg,T2,1,L1GT,LC08_L1GT_043030_20150314_20170228_01_T2,LC80430302015073LGN01,p043r030,43,30
2015-03-30,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150330_20170228_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150330_20170228_01_T1,LC80430302015089LGN01,p043r030,43,30
2015-04-15,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150415_20170227_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150415_20170227_01_T1,LC80430302015105LGN01,p043r030,43,30
2015-05-01,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150501_20170301_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150501_20170301_01_T1,LC80430302015121LGN01,p043r030,43,30
2015-05-17,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150517_20170301_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150517_20170301_01_T1,LC80430302015137LGN01,p043r030,43,30
2015-06-02,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150602_20170226_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150602_20170226_01_T1,LC80430302015153LGN01,p043r030,43,30
2015-06-18,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150618_20170226_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150618_20170226_01_T1,LC80430302015169LGN01,p043r030,43,30
2015-07-04,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150704_20170226_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150704_20170226_01_T1,LC80430302015185LGN01,p043r030,43,30
2015-07-20,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150720_20170226_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150720_20170226_01_T1,LC80430302015201LGN01,p043r030,43,30
2015-08-05,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150805_20170311_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150805_20170311_01_T1,LC80430302015217LGN02,p043r030,43,30
2015-08-21,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150821_20170225_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150821_20170225_01_T1,LC80430302015233LGN01,p043r030,43,30
2015-09-06,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150906_20170225_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150906_20170225_01_T1,LC80430302015249LGN01,p043r030,43,30
2015-09-22,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20150922_20170225_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20150922_20170225_01_T1,LC80430302015265LGN01,p043r030,43,30
2015-10-08,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20151008_20170225_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20151008_20170225_01_T1,LC80430302015281LGN01,p043r030,43,30
2015-10-24,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20151024_20170225_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20151024_20170225_01_T1,LC80430302015297LGN01,p043r030,43,30
2015-11-09,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20151109_20170225_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20151109_20170225_01_T1,LC80430302015313LGN01,p043r030,43,30
2015-11-25,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1GT_043030_20151125_20170225_01_T2.jpg,T2,1,L1GT,LC08_L1GT_043030_20151125_20170225_01_T2,LC80430302015329LGN01,p043r030,43,30
2015-12-11,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20151211_20170224_01_T1.jpg,T1,1,L1TP,LC08_L1TP_043030_20151211_20170224_01_T1,LC80430302015345LGN01,p043r030,43,30
2015-12-27,https://earthexplorer.usgs.gov/browse/landsat_8_c1/2015/043/030/LC08_L1TP_043030_20151227_20180201_01_T2.jpg,T2,1,L1TP,LC08_L1TP_043030_20151227_20180201_01_T2,LC80430302015361LGN02,p043r030,43,30
