browseAvailable,browseURL,sceneID,acquisitionDate,cloudCover,path,row,DATA_TYPE_L1,sensor,cloudCoverFull,sceneStartTime,sunElevation,sunAzimuth
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000360EDC00_REFL.jpg,LE70430302000360EDC00,2000-12-25,5,43,30,L1T,LANDSAT_ETM,51.0,2000:360:18:28:32.2105666,20.5130272,158.7501984
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000344EDC00_REFL.jpg,LE70430302000344EDC00,2000-12-09,9,43,30,L1G,LANDSAT_ETM,100.0,2000:344:18:28:26.1608139,21.4548492,160.4374847
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000328EDC00_REFL.jpg,LE70430302000328EDC00,2000-11-23,8,43,30,L1T,LANDSAT_ETM,85.4,2000:328:18:28:23.2501854,24.1097145,161.2330933
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000312EDC00_REFL.jpg,LE70430302000312EDC00,2000-11-07,5,43,30,L1T,LANDSAT_ETM,52.92,2000:312:18:28:22.7314950,28.1377182,160.8440094
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000296EDC00_REFL.jpg,LE70430302000296EDC00,2000-10-22,0,43,30,L1T,LANDSAT_ETM,0.78,2000:296:18:28:19.3296173,33.0970345,159.1100616
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000280EDC00_REFL.jpg,LE70430302000280EDC00,2000-10-06,0,43,30,L1T,LANDSAT_ETM,1.11,2000:280:18:28:29.0098030,38.5142479,155.9887238
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000264EDC00_REFL.jpg,LE70430302000264EDC00,2000-09-20,0,43,30,L1T,LANDSAT_ETM,0.0,2000:264:18:28:32.5109246,43.9982033,151.7731781
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000248PAC01_REFL.jpg,LE70430302000248PAC01,2000-09-04,2,43,30,L1T,LANDSAT_ETM,30.89,2000:248:18:28:52.2270624,49.16893005,146.65699768
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000232EDC00_REFL.jpg,LE70430302000232EDC00,2000-08-19,1,43,30,L1T,LANDSAT_ETM,11.22,2000:232:18:29:07.4548534,53.7596817,141.1366425
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000216EDC00_REFL.jpg,LE70430302000216EDC00,2000-08-03,1,43,30,L1T,LANDSAT_ETM,16.05,2000:216:18:29:13.4482245,57.6099205,135.9848022
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000200EDC00_REFL.jpg,LE70430302000200EDC00,2000-07-18,0,43,30,L1T,LANDSAT_ETM,2.86,2000:200:18:29:29.7670966,60.5991669,132.1012878
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000184EDC00_REFL.jpg,LE70430302000184EDC00,2000-07-02,0,43,30,L1T,LANDSAT_ETM,2.46,2000:184:18:29:43.0281564,62.6031914,130.3808746
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000168EDC00_REFL.jpg,LE70430302000168EDC00,2000-06-16,0,43,30,L1T,LANDSAT_ETM,0.0,2000:168:18:29:56.0655908,63.4080048,131.2517242
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000152EDC00_REFL.jpg,LE70430302000152EDC00,2000-05-31,0,43,30,L1T,LANDSAT_ETM,6.72,2000:152:18:30:00.1042934,62.7471085,134.2938538
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000136EDC00_REFL.jpg,LE70430302000136EDC00,2000-05-15,1,43,30,L1T,LANDSAT_ETM,11.04,2000:136:18:30:11.7155029,60.4470482,138.3031006
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000120EDC00_REFL.jpg,LE70430302000120EDC00,2000-04-29,0,43,30,L1T,LANDSAT_ETM,0.48,2000:120:18:30:23.0056007,56.5744629,142.0629272
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000104EDC00_REFL.jpg,LE70430302000104EDC00,2000-04-13,4,43,30,L1T,LANDSAT_ETM,45.28,2000:104:18:30:23.5148147,51.4382133,145.0250397
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000088PAC01_REFL.jpg,LE70430302000088PAC01,2000-03-28,4,43,30,L1T,LANDSAT_ETM,45.37,2000:088:18:30:36.6261250,45.48768997,147.26600647
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000072EDC00_REFL.jpg,LE70430302000072EDC00,2000-03-12,7,43,30,L1T,LANDSAT_ETM,77.2,2000:072:18:30:39.0667999,39.2265739,149.1282043
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000056EDC00_REFL.jpg,LE70430302000056EDC00,2000-02-25,2,43,30,L1T,LANDSAT_ETM,24.97,2000:056:18:30:42.6738659,33.1819725,150.9499359
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000040EDC00_REFL.jpg,LE70430302000040EDC00,2000-02-09,1,43,30,L1T,LANDSAT_ETM,16.1,2000:040:18:30:48.3580100,27.8746033,152.9494476
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000024EDC00_REFL.jpg,LE70430302000024EDC00,2000-01-24,9,43,30,L1G,LANDSAT_ETM,100.0,2000:024:18:30:53.0127426,23.7903461,155.1811523
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2000/LE70430302000008EDC00_REFL.jpg,LE70430302000008EDC00,2000-01-08,2,43,30,L1T,LANDSAT_ETM,24.57,2000:008:18:30:55.2449797,21.3208847,157.5128479
