browseAvailable,browseURL,sceneID,acquisitionDate,cloudCover,path,row,DATA_TYPE_L1,sensor,cloudCoverFull,sceneStartTime,sunElevation,sunAzimuth
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016356EDC00_REFL.jpg,LE70430302016356EDC00,2016-12-21,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,2.17,2016:356:18:40:28.7625000,21.30171967,162.06163025
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016340EDC00_REFL.jpg,LE70430302016340EDC00,2016-12-05,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,6.31,2016:340:18:40:34.4127500,22.63132477,163.65551758
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016324EDC00_REFL.jpg,LE70430302016324EDC00,2016-11-19,9,43,30,L1Gt,LANDSAT_ETM_SLC_OFF,97.6,2016:324:18:40:36.8111250,25.63836098,164.35012817
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016308EDC00_REFL.jpg,LE70430302016308EDC00,2016-11-03,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,1.05,2016:308:18:40:43.4793750,29.96187592,163.87657166
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016292EDC00_REFL.jpg,LE70430302016292EDC00,2016-10-18,7,43,30,L1Gt,LANDSAT_ETM_SLC_OFF,78.16,2016:292:18:40:48.9841250,35.15314102,162.09373474
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016276EDC00_REFL.jpg,LE70430302016276EDC00,2016-10-02,1,43,30,L1T,LANDSAT_ETM_SLC_OFF,11.74,2016:276:18:40:50.3919374,40.74750137,159.00372314
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016260EDC00_REFL.jpg,LE70430302016260EDC00,2016-09-16,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.0,2016:260:18:40:47.8609999,46.32088089,154.75778198
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016244EDC00_REFL.jpg,LE70430302016244EDC00,2016-08-31,2,43,30,L1T,LANDSAT_ETM_SLC_OFF,24.38,2016:244:18:40:46.2638125,51.5222435,149.67977905
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016228EDC00_REFL.jpg,LE70430302016228EDC00,2016-08-15,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.0,2016:228:18:40:42.2371875,56.09184647,144.32141113
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016212EDC01_REFL.jpg,LE70430302016212EDC01,2016-07-30,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.14,2016:212:18:40:41.5655000,59.85573959,139.47622681
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016196EDC00_REFL.jpg,LE70430302016196EDC00,2016-07-14,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.0,2016:196:18:40:38.4649374,62.68280411,136.10517883
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016180EDC00_REFL.jpg,LE70430302016180EDC00,2016-06-28,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.06,2016:180:18:40:38.7955625,64.41661835,135.04980469
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016164EDC00_REFL.jpg,LE70430302016164EDC00,2016-06-12,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.7,2016:164:18:40:37.6966874,64.8261795,136.55665588
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016148EDC00_REFL.jpg,LE70430302016148EDC00,2016-05-27,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,6.3,2016:148:18:40:33.4536875,63.66685867,139.88638306
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016132EDC00_REFL.jpg,LE70430302016132EDC00,2016-05-11,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.0,2016:132:18:40:28.9591875,60.84415436,143.68011475
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016116EDC00_REFL.jpg,LE70430302016116EDC00,2016-04-25,5,43,30,L1T,LANDSAT_ETM_SLC_OFF,55.87,2016:116:18:40:25.5356874,56.51741409,146.88435364
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016100EDC00_REFL.jpg,LE70430302016100EDC00,2016-04-09,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,0.0,2016:100:18:40:17.9435625,51.05010605,149.22370911
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016084EDC00_REFL.jpg,LE70430302016084EDC00,2016-03-24,4,43,30,L1T,LANDSAT_ETM_SLC_OFF,45.93,2016:084:18:40:13.5560624,44.90480042,150.94218445
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016068EDC00_REFL.jpg,LE70430302016068EDC00,2016-03-08,6,43,30,L1T,LANDSAT_ETM_SLC_OFF,67.17,2016:068:18:40:07.3383125,38.58493042,152.42414856
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016052EDC00_REFL.jpg,LE70430302016052EDC00,2016-02-21,7,43,30,L1T,LANDSAT_ETM_SLC_OFF,71.25,2016:052:18:39:57.2461249,32.60855103,153.99551392
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016036EDC01_REFL.jpg,LE70430302016036EDC01,2016-02-05,0,43,30,L1T,LANDSAT_ETM_SLC_OFF,2.96,2016:036:18:39:55.2814999,27.48707199,155.83425903
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016020EDC00_REFL.jpg,LE70430302016020EDC00,2016-01-20,2,43,30,L1T,LANDSAT_ETM_SLC_OFF,23.48,2016:020:18:39:47.0218750,23.68943596,157.9453125
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2016/LE70430302016004EDC00_REFL.jpg,LE70430302016004EDC00,2016-01-04,7,43,30,L1Gt,LANDSAT_ETM_SLC_OFF,74.16,2016:004:18:39:33.1950000,21.57985115,160.15647888
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2015/LE70430302015353EDC00_REFL.jpg,LE70430302015353EDC00,2015-12-19,8,43,30,L1Gt,LANDSAT_ETM_SLC_OFF,88.49,2015:353:18:39:19.6686249,21.35014153,162.14595032
Y,http://earthexplorer.usgs.gov/browse/etm/43/30/2015/LE70430302015337EDC00_REFL.jpg,LE70430302015337EDC00,2015-12-03,8,43,30,L1T,LANDSAT_ETM_SLC_OFF,90.97,2015:337:18:39:02.6096874,22.97645569,163.52655029
