browseAvailable,browseURL,sceneID,acquisitionDate,cloudCover,path,row,DATA_TYPE_L1,sensor,cloudCoverFull,sceneStartTime,sunElevation,sunAzimuth
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009344PAC01_REFL.jpg,LT50430302009344PAC01,2009-12-10,2,43,30,L1T,LANDSAT_TM,28.81,2009:344:18:28:39.62181,21.38421044,160.43116938
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009328PAC01_REFL.jpg,LT50430302009328PAC01,2009-11-24,7,43,30,L1T,LANDSAT_TM,78.3,2009:328:18:28:29.82944,23.95389336,161.25126997
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009312PAC01_REFL.jpg,LT50430302009312PAC01,2009-11-08,1,43,30,L1T,LANDSAT_TM,14.36,2009:312:18:28:23.58969,27.91940319,160.90989085
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009296PAC01_REFL.jpg,LT50430302009296PAC01,2009-10-23,7,43,30,L1T,LANDSAT_TM,72.0,2009:296:18:28:16.01281,32.83473539,159.21783533
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009280PAC01_REFL.jpg,LT50430302009280PAC01,2009-10-07,1,43,30,L1T,LANDSAT_TM,11.13,2009:280:18:28:06.80194,38.23131016,156.14903299
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009264PAC01_REFL.jpg,LT50430302009264PAC01,2009-09-21,0,43,30,L1T,LANDSAT_TM,0.0,2009:264:18:27:55.83913,43.67463977,151.82999695
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009248PAC01_REFL.jpg,LT50430302009248PAC01,2009-09-05,5,43,30,L1T,LANDSAT_TM,60.99,2009:248:18:27:43.29313,48.80575475,146.56331584
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009232PAC01_REFL.jpg,LT50430302009232PAC01,2009-08-20,0,43,30,L1T,LANDSAT_TM,0.0,2009:232:18:27:29.00238,53.36160179,140.8624335
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009216PAC01_REFL.jpg,LT50430302009216PAC01,2009-08-04,0,43,30,L1T,LANDSAT_TM,9.86,2009:216:18:27:14.46025,57.17733568,135.48167286
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009200PAC01_REFL.jpg,LT50430302009200PAC01,2009-07-19,0,43,30,L1T,LANDSAT_TM,0.75,2009:200:18:26:59.90925,60.14437748,131.33819668
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009184PAC01_REFL.jpg,LT50430302009184PAC01,2009-07-03,1,43,30,L1T,LANDSAT_TM,17.74,2009:184:18:26:44.16619,62.1377038,129.30418906
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009168PAC01_REFL.jpg,LT50430302009168PAC01,2009-06-17,4,43,30,L1T,LANDSAT_TM,41.51,2009:168:18:26:27.16244,62.95522601,129.84255734
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009152PAC01_REFL.jpg,LT50430302009152PAC01,2009-06-01,7,43,30,L1G,LANDSAT_TM,74.12,2009:152:18:26:09.19888,62.33394809,132.59582177
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009136PAC01_REFL.jpg,LT50430302009136PAC01,2009-05-16,0,43,30,L1T,LANDSAT_TM,0.0,2009:136:18:25:52.59594,60.09418478,136.43407363
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009120PAC01_REFL.jpg,LT50430302009120PAC01,2009-04-30,5,43,30,L1T,LANDSAT_TM,54.39,2009:120:18:25:33.62538,56.27592979,140.12209116
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009104PAC01_REFL.jpg,LT50430302009104PAC01,2009-04-14,5,43,30,L1T,LANDSAT_TM,59.84,2009:104:18:25:16.00750,51.17959446,143.09102378
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009088PAC01_REFL.jpg,LT50430302009088PAC01,2009-03-29,8,43,30,L1G,LANDSAT_TM,87.56,2009:088:18:24:56.35019,45.24081246,145.35359154
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009072PAC01_REFL.jpg,LT50430302009072PAC01,2009-03-13,3,43,30,L1T,LANDSAT_TM,32.55,2009:072:18:24:35.41713,38.96689679,147.23215076
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009056PAC01_REFL.jpg,LT50430302009056PAC01,2009-02-25,9,43,30,L1G,LANDSAT_TM,97.94,2009:056:18:24:13.16263,32.88578755,149.05725132
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009040PAC01_REFL.jpg,LT50430302009040PAC01,2009-02-09,9,43,30,L1G,LANDSAT_TM,98.88,2009:040:18:23:49.75325,27.5245081,151.04719709
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009024PAC01_REFL.jpg,LT50430302009024PAC01,2009-01-24,8,43,30,L1G,LANDSAT_TM,87.93,2009:024:18:23:24.83975,23.37341134,153.2510921
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2009/LT50430302009008EDC00_REFL.jpg,LT50430302009008EDC00,2009-01-08,5,43,30,L1G,LANDSAT_TM,53.74,2009:008:18:22:58.77388,20.83111667,155.5366362
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008294PAC01_REFL.jpg,LT50430302008294PAC01,2008-10-20,6,43,30,L1T,LANDSAT_TM,61.97,2008:294:18:22:00.27450,33.31655093,157.01840952
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008278PAC01_REFL.jpg,LT50430302008278PAC01,2008-10-04,6,43,30,L1G,LANDSAT_TM,70.71,2008:278:18:22:32.76725,38.74595723,153.80063342
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008262PAC01_REFL.jpg,LT50430302008262PAC01,2008-09-18,0,43,30,L1T,LANDSAT_TM,6.31,2008:262:18:23:02.88175,44.15135583,149.39656773
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008246PAC01_REFL.jpg,LT50430302008246PAC01,2008-09-02,1,43,30,L1T,LANDSAT_TM,12.16,2008:246:18:23:30.56713,49.20076443,144.15137323
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008230PAC02_REFL.jpg,LT50430302008230PAC02,2008-08-17,0,43,30,L1T,LANDSAT_TM,0.0,2008:230:18:23:56.14694,53.65886175,138.62318586
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008214PAC01_REFL.jpg,LT50430302008214PAC01,2008-08-01,0,43,30,L1T,LANDSAT_TM,0.11,2008:214:18:24:24.16263,57.38652923,133.61411478
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008198PAC01_REFL.jpg,LT50430302008198PAC01,2008-07-16,0,43,30,L1T,LANDSAT_TM,4.35,2008:198:18:24:52.76269,60.27392736,130.02820157
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008182PAC01_REFL.jpg,LT50430302008182PAC01,2008-06-30,2,43,30,L1T,LANDSAT_TM,30.36,2008:182:18:25:20.46925,62.17849969,128.68617711
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008166PAC01_REFL.jpg,LT50430302008166PAC01,2008-06-14,0,43,30,L1T,LANDSAT_TM,0.0,2008:166:18:25:47.29925,62.87220178,129.93698379
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008150PAC01_REFL.jpg,LT50430302008150PAC01,2008-05-29,8,43,30,L1G,LANDSAT_TM,90.61,2008:150:18:26:13.22750,62.08074998,133.2645421
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008134PAC01_REFL.jpg,LT50430302008134PAC01,2008-05-13,2,43,30,L1T,LANDSAT_TM,28.25,2008:134:18:26:38.91738,59.64491427,137.43443248
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008118PAC01_REFL.jpg,LT50430302008118PAC01,2008-04-27,2,43,30,L1T,LANDSAT_TM,25.19,2008:118:18:27:04.14875,55.65677189,141.27864329
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008102PAC01_REFL.jpg,LT50430302008102PAC01,2008-04-11,2,43,30,L1T,LANDSAT_TM,24.94,2008:102:18:27:28.58163,50.44566946,144.31197841
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008086PAC01_REFL.jpg,LT50430302008086PAC01,2008-03-26,7,43,30,L1T,LANDSAT_TM,77.4,2008:086:18:27:51.39519,44.47124835,146.64227194
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008070PAC01_REFL.jpg,LT50430302008070PAC01,2008-03-10,6,43,30,L1T,LANDSAT_TM,67.62,2008:070:18:28:12.46600,38.24540537,148.61623167
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2008/LT50430302008054PAC01_REFL.jpg,LT50430302008054PAC01,2008-02-23,7,43,30,L1G,LANDSAT_TM,78.26,2008:054:18:28:32.10956,32.29630981,150.56618371
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007275PAC01_REFL.jpg,LT50430302007275PAC01,2007-10-02,4,43,30,L1T,LANDSAT_TM,50.6,2007:275:18:31:01.38500,40.34788363,155.71219606
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007259PAC01_REFL.jpg,LT50430302007259PAC01,2007-09-16,0,43,30,L1T,LANDSAT_TM,1.39,2007:259:18:31:09.71906,45.78788998,151.19937952
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007243PAC01_REFL.jpg,LT50430302007243PAC01,2007-08-31,2,43,30,L1T,LANDSAT_TM,26.41,2007:243:18:31:15.71425,50.82652663,145.8924755
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007227PAC01_REFL.jpg,LT50430302007227PAC01,2007-08-15,0,43,30,L1T,LANDSAT_TM,10.38,2007:227:18:31:26.21481,55.24205183,140.4176322
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007211PAC01_REFL.jpg,LT50430302007211PAC01,2007-07-30,2,43,30,L1T,LANDSAT_TM,21.38,2007:211:18:31:36.69300,58.87741287,135.56125924
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007195PAC02_REFL.jpg,LT50430302007195PAC02,2007-07-14,0,43,30,L1T,LANDSAT_TM,0.0,2007:195:18:31:46.00381,61.6141183,132.25788051
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007179PAC01_REFL.jpg,LT50430302007179PAC01,2007-06-28,0,43,30,L1T,LANDSAT_TM,6.08,2007:179:18:31:53.24300,63.2948289,131.30187
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007163PAC01_REFL.jpg,LT50430302007163PAC01,2007-06-12,0,43,30,L1T,LANDSAT_TM,0.0,2007:163:18:32:11.44813,63.70989274,132.99524337
Y,http://earthexplorer.usgs.gov/browse/tm/43/30/2007/LT50430302007147PAC01_REFL.jpg,LT50430302007147PAC01,2007-05-27,7,43,30,L1G,LANDSAT_TM,79.2,2007:147:18:32:26.42569,62.56840988,136.51795732
